iter	MultiClass
0	1.706974993
1	1.653468826
2	1.591819048
3	1.531988417
4	1.491265565
5	1.429152334
6	1.383675739
7	1.330997755
8	1.279952447
9	1.248054411
10	1.208177388
11	1.169976764
12	1.13126984
13	1.08936162
14	1.05875025
15	1.027437202
16	0.9980626378
17	0.9730529571
18	0.9498504609
19	0.924264343
20	0.9037078653
21	0.8819794318
22	0.8588089766
23	0.8372076718
24	0.816178765
25	0.8040126008
26	0.7802080089
27	0.7594174206
28	0.7412007417
29	0.7221790357
30	0.7069597702
31	0.689998559
32	0.676668637
33	0.6575464851
34	0.6421630993
35	0.6268767547
36	0.6107834332
37	0.5981135456
38	0.5865971198
39	0.5731755013
40	0.5607405656
41	0.5502575596
42	0.5406961141
43	0.5312614966
44	0.5204289938
45	0.5091828714
46	0.4996276943
47	0.4901514805
48	0.481472711
49	0.4741870918
50	0.4675447487
51	0.4609207523
52	0.4535366345
53	0.4453679456
54	0.437465499
55	0.429229101
56	0.4221425079
57	0.4133607678
58	0.4067833392
59	0.3997051853
60	0.3955110306
61	0.3890422556
62	0.3827730238
63	0.3766879257
64	0.3701193127
65	0.3636106528
66	0.3583085142
67	0.3524526563
68	0.3469322147
69	0.3411568251
70	0.335134683
71	0.3308694079
72	0.3250274653
73	0.3194164352
74	0.3143225995
75	0.3101331437
76	0.3060613481
77	0.3018358238
78	0.2979153525
79	0.2935623086
80	0.2893333468
81	0.2839163741
82	0.2801014632
83	0.2761355929
84	0.2720404091
85	0.2678039815
86	0.2636022534
87	0.2595331245
88	0.2566292579
89	0.2530986354
90	0.2487131932
91	0.245686987
92	0.2427045802
93	0.2400961441
94	0.2365793467
95	0.234625374
96	0.2313128192
97	0.2287596537
98	0.2257491159
99	0.2224511089
100	0.2201927141
101	0.2179571714
102	0.2149787132
103	0.2127694089
104	0.2098552466
105	0.2079154744
106	0.2059873341
107	0.204345728
108	0.2019436575
109	0.2002100258
110	0.197855304
111	0.1957330544
112	0.1933733341
113	0.1917556674
114	0.1896751765
115	0.1871469819
116	0.184922505
117	0.1826178103
118	0.1803414174
119	0.1782655792
120	0.1762567786
121	0.1744658864
122	0.1727695692
123	0.1714719307
124	0.1694673505
125	0.1678212712
126	0.1658281819
127	0.1637162391
128	0.161875143
129	0.1606568711
130	0.1589757608
131	0.1574832181
132	0.1557521942
133	0.1541339001
134	0.1525951481
135	0.1513403848
136	0.1501064359
137	0.1486278152
138	0.1476813778
139	0.146335464
140	0.1448554414
141	0.1431035405
142	0.1418624824
143	0.1403870703
144	0.1389259235
145	0.1378739949
146	0.136907615
147	0.1356641425
148	0.1341163845
149	0.1330005322
150	0.1315599763
151	0.1303166821
152	0.1288884124
153	0.1276452015
154	0.1266537194
155	0.1255029174
156	0.1246740516
157	0.1236317455
158	0.1221676948
159	0.1213141487
160	0.1199842932
161	0.1188461065
162	0.1180495642
163	0.1170833604
164	0.1162525262
165	0.1155101278
166	0.1143474196
167	0.1131305987
168	0.1120706122
169	0.1111896708
170	0.1103189224
171	0.1095220196
172	0.1087857077
173	0.1077673341
174	0.106679536
175	0.1060452878
176	0.1048886506
177	0.1039397333
178	0.1030206292
179	0.1020636672
180	0.1013436282
181	0.1004894706
182	0.09952249083
183	0.09897559907
184	0.09823357147
185	0.09756248834
186	0.0970485477
187	0.09638723191
188	0.09575225087
189	0.09499991717
190	0.09427326614
191	0.09361915917
192	0.09296725793
193	0.09237778207
194	0.0917313074
195	0.09100532654
196	0.09031029738
197	0.08973837723
198	0.08909998291
199	0.08817601837
200	0.08758597529
201	0.08708128458
202	0.08663053399
203	0.08626077847
204	0.08561738239
205	0.08494244038
206	0.08437635152
207	0.08387091142
208	0.08333908186
209	0.08293870031
210	0.08233671499
211	0.08170054114
212	0.08125924752
213	0.08063821456
214	0.07993853029
215	0.07950947419
216	0.0789717366
217	0.07838842512
218	0.07804176128
219	0.07737548666
220	0.07690881734
221	0.07649348902
222	0.07593112701
223	0.07544392341
224	0.07501934409
225	0.07462544773
226	0.07421373824
227	0.07382155396
228	0.07328100428
229	0.07305838593
230	0.07265816033
231	0.07215075534
232	0.07174784367
233	0.07143594427
234	0.07113547731
235	0.07071496798
236	0.07028493505
237	0.06994234828
238	0.06954019695
239	0.06917058591
240	0.06884842654
241	0.06839661057
242	0.06810827142
243	0.06776594635
244	0.06746303094
245	0.06697531908
246	0.06661001944
247	0.06617609192
248	0.06587666088
249	0.06563802547
250	0.06522660351
251	0.06495034129
252	0.06475687638
253	0.06443555785
254	0.06409474557
255	0.06368598383
256	0.06339143741
257	0.06314373757
258	0.06267602623
259	0.06238301354
260	0.06205058401
261	0.06177077682
262	0.06139859852
263	0.06101240341
264	0.06076288912
265	0.06044512775
266	0.06020544967
267	0.05975521248
268	0.05937411008
269	0.05903241109
270	0.05867698908
271	0.05840156681
272	0.05817874449
273	0.05793248088
274	0.05764154076
275	0.05718716403
276	0.05699986861
277	0.05676805027
278	0.05649352544
279	0.05615214879
280	0.05590608377
281	0.05570452428
282	0.05542084187
283	0.05515827331
284	0.05492883772
285	0.05451611744
286	0.05432855764
