iter	Passed	Remaining
0	64	32192
1	65	16404
2	67	11148
3	68	8477
4	69	6867
5	70	5805
6	71	5034
7	72	4458
8	73	4009
9	74	3654
10	75	3360
11	76	3121
12	78	2924
13	79	2745
14	80	2590
15	81	2452
16	82	2337
17	83	2229
18	84	2132
19	85	2050
20	86	1971
21	87	1898
22	88	1831
23	89	1771
24	90	1716
25	91	1664
26	92	1620
27	93	1576
28	94	1535
29	95	1495
30	96	1458
31	97	1424
32	98	1392
33	99	1362
34	100	1333
35	100	1300
36	101	1275
37	102	1250
38	103	1227
39	104	1204
40	105	1183
41	106	1163
42	107	1145
43	109	1129
44	110	1112
45	111	1095
46	111	1079
47	112	1062
48	113	1047
49	114	1033
50	115	1019
51	116	1006
52	117	994
53	118	982
54	119	970
55	120	958
56	121	947
57	122	936
58	124	927
59	125	919
60	126	909
61	127	900
62	128	891
63	129	882
64	130	873
65	131	864
66	132	856
67	133	847
68	134	840
69	135	832
70	136	824
71	137	816
72	138	810
73	139	803
74	140	797
75	141	790
76	142	782
77	143	776
78	144	769
79	145	763
80	146	757
81	147	751
82	148	746
83	149	741
84	150	736
85	151	729
86	152	723
87	153	718
88	154	713
89	156	712
90	157	708
91	158	704
92	160	701
93	162	700
94	163	698
95	165	695
96	166	691
97	167	686
98	168	682
99	169	678
100	170	674
101	171	671
102	173	667
103	174	663
104	175	660
105	176	657
106	178	654
107	179	651
108	180	648
109	181	644
110	182	640
111	183	636
112	184	632
113	185	629
114	186	625
115	188	623
116	189	619
117	190	615
118	191	612
119	192	608
120	193	605
121	194	602
122	195	600
123	197	599
124	199	598
125	200	594
126	201	591
127	202	588
128	203	585
129	204	582
130	205	579
131	206	576
132	207	573
133	208	570
134	209	566
135	210	563
136	211	561
137	212	558
138	213	554
139	214	551
140	215	548
141	217	547
142	218	544
143	219	542
144	220	539
145	221	536
146	222	534
147	223	531
148	224	528
149	225	526
150	226	523
151	228	522
152	229	519
153	230	517
154	231	514
155	231	511
156	232	508
157	233	506
158	234	502
159	235	500
160	236	497
161	237	494
162	238	492
163	238	489
164	239	487
165	240	484
166	241	482
167	242	480
168	243	477
169	244	475
170	245	471
171	245	468
172	246	466
173	247	464
174	248	461
175	249	459
176	250	457
177	251	455
178	252	453
179	253	451
180	254	448
181	255	446
182	256	444
183	257	442
184	258	440
185	259	438
186	260	436
187	261	434
188	262	432
189	263	430
190	264	428
191	265	426
192	266	424
193	267	422
194	268	420
195	269	418
196	271	416
197	272	415
198	273	413
199	274	411
200	275	409
201	276	407
202	277	405
203	278	403
204	279	401
205	280	399
206	281	398
207	282	396
208	283	394
209	284	392
210	285	390
211	286	388
212	287	387
213	288	385
214	290	384
215	291	382
216	292	381
217	293	379
218	294	377
219	295	375
220	295	373
221	297	372
222	298	370
223	299	368
224	300	366
225	301	365
226	302	363
227	303	361
228	304	360
229	305	358
230	306	357
231	307	355
232	309	354
233	310	352
234	310	350
235	312	349
236	314	348
237	322	355
238	335	366
239	338	367
240	340	365
241	344	367
242	346	366
243	347	364
244	348	363
245	349	361
246	350	359
247	351	357
248	352	355
249	353	353
250	354	351
251	354	349
252	355	346
253	355	344
254	356	342
255	357	341
256	359	339
257	359	337
258	361	335
259	361	334
260	362	332
261	363	330
262	364	328
263	365	326
264	366	325
265	367	323
266	368	321
267	369	319
268	370	317
269	371	316
270	372	314
271	372	312
272	373	310
273	374	309
274	375	307
275	376	305
276	377	303
277	377	301
278	378	300
279	379	298
280	380	296
281	381	295
282	382	293
283	383	291
284	384	289
285	384	288
286	385	286
287	386	284
288	387	283
289	388	281
290	389	279
291	390	277
292	391	276
293	392	274
294	393	273
295	394	271
296	395	270
297	395	268
298	396	266
299	397	265
300	398	263
301	399	261
302	400	260
303	401	258
304	402	257
305	403	255
306	404	254
307	404	252
308	405	250
309	406	249
310	407	247
311	408	246
312	409	244
313	410	243
314	412	242
315	413	240
316	415	239
317	416	238
318	416	236
319	418	235
320	419	233
321	419	232
322	420	230
323	422	229
324	422	227
325	424	226
326	425	225
327	426	223
328	427	222
329	428	220
330	429	219
331	430	218
332	432	216
333	433	215
334	434	214
335	436	213
336	437	211
337	439	210
338	440	209
339	441	207
340	442	206
341	443	204
342	444	203
343	445	201
344	445	200
345	446	198
346	447	197
347	448	195
348	449	194
349	450	193
350	451	191
351	452	190
352	453	188
353	454	187
354	455	186
355	456	184
356	457	183
357	458	181
358	459	180
359	460	179
360	461	177
361	462	176
362	462	174
363	463	173
364	464	171
365	465	170
366	466	169
367	467	167
368	469	166
369	469	164
370	470	163
371	471	162
372	472	160
373	473	159
374	473	157
375	474	156
376	475	155
377	476	153
378	477	152
379	478	151
380	479	149
381	480	148
382	481	147
383	482	145
384	483	144
385	483	142
386	485	141
387	486	140
388	487	138
389	487	137
390	488	136
391	489	134
392	490	133
393	491	132
394	492	130
395	493	129
396	494	128
397	495	126
398	496	125
399	497	124
400	498	123
401	499	121
402	500	120
403	501	119
404	502	117
405	503	116
406	504	115
407	505	114
408	506	112
409	508	111
410	509	110
411	510	108
412	511	107
413	512	106
414	512	105
415	513	103
416	514	102
417	515	101
418	516	99
419	516	98
420	518	97
421	519	95
422	520	94
423	520	93
424	521	92
425	522	90
426	523	89
427	524	88
428	525	87
429	526	85
430	527	84
431	528	83
432	529	81
433	530	80
434	531	79
435	532	78
436	533	76
437	534	75
438	535	74
439	536	73
440	537	71
441	538	70
442	539	69
443	540	68
444	541	66
445	541	65
446	542	64
447	543	63
448	544	61
449	545	60
450	546	59
451	547	58
452	548	56
453	549	55
454	550	54
455	551	53
456	552	51
457	553	50
458	553	49
459	554	48
460	555	46
461	556	45
462	557	44
463	558	43
464	559	42
465	560	40
466	561	39
467	562	38
468	563	37
469	564	36
470	565	34
471	566	33
472	567	32
473	568	31
474	569	29
475	570	28
476	571	27
477	572	26
478	573	25
479	574	23
480	574	22
481	575	21
482	576	20
483	577	19
484	578	17
485	579	16
486	580	15
487	581	14
488	582	13
489	584	11
490	585	10
491	586	9
492	587	8
493	587	7
494	588	5
495	589	4
496	590	3
497	591	2
498	592	1
499	593	0
