file,backend,precision,n_qubits,n_lines,n_nonempty_lines,n_qreg_declarations,n_classical_bits,n_measure,n_barrier,n_cx,n_cz,n_cp,n_cy,n_ch,n_swap,n_ccx,n_cswap,n_2q_gates,n_3q_gates,n_x,n_y,n_z,n_h,n_s,n_sdg,n_t,n_tdg,n_rx,n_ry,n_rz,n_u1,n_u2,n_u3,n_u,n_1q_gates,n_total_gates,n_unique_edges,n_edge_repetitions,max_qubit_degree,avg_qubit_degree,qubit_degree_std,n_connected_components,crude_depth,gates_per_layer_estimate,avg_gate_span,max_gate_span,std_gate_span,entanglement_pressure,midpoint_cut_crossings,has_qft_pattern,n_qft_like_gates,has_iqft_pattern,has_grover_pattern,has_variational_pattern,n_rotation_gates,has_ghz_pattern,n_custom_gates,n_opaque_gates,ratio_2q_gates,ratio_1q_gates,gates_per_qubit,2q_gates_per_qubit,1q_gates_per_qubit,circuit_density,max_fidelity_achieved,n_thresholds_tested,threshold_runtime,min_threshold,forward_runtime
ghz_indep_qiskit_2.qasm,CPU,single,2,9,9,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1.0,0.0,1,4.5,0.4444444444444444,1.0,1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,0.5,0.5,0.1111111111111111,1.0,2,87.5811200006865,2,3386.4159999939147
ghz_indep_qiskit_2.qasm,CPU,double,2,9,9,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1.0,0.0,1,4.5,0.4444444444444444,1.0,1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,0.5,0.5,0.1111111111111111,1.0,2,71.02359999844339,2,3496.9979999004863
qpeexact_indep_qiskit_2.qasm,CPU,single,2,11,11,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0.0,0.0,0,5.5,0.5454545454545454,0.0,0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.75,2.0,0.5,1.5,0.18181818181818182,1.0,1,63.76302000135183,1,3262.652999983402
qpeexact_indep_qiskit_2.qasm,CPU,double,2,11,11,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0.0,0.0,0,5.5,0.5454545454545454,0.0,0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0.75,2.0,0.5,1.5,0.18181818181818182,1.0,1,76.52769999986049,1,3305.553999962285
qpeinexact_indep_qiskit_2.qasm,CPU,single,2,11,11,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0.0,0.0,0,5.5,0.5454545454545454,0.0,0,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0.25,0.75,2.0,0.5,1.5,0.18181818181818182,1.0,1,69.2352000012761,1,3194.7659999423195
qpeinexact_indep_qiskit_2.qasm,CPU,double,2,11,11,2,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0.0,0.0,0,5.5,0.5454545454545454,0.0,0,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0.25,0.75,2.0,0.5,1.5,0.18181818181818182,1.0,1,71.63688000000548,1,3192.506999912439
dj_indep_qiskit_2.qasm,CPU,single,2,10,10,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,1,0,1,1.0,0.0,1,5.0,0.8,1.0,1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0.25,0.75,2.0,0.5,1.5,0.2,1.0,1,69.34262000140734,1,3329.807999980403
dj_indep_qiskit_2.qasm,CPU,double,2,10,10,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,1,0,1,1.0,0.0,1,5.0,0.8,1.0,1,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0.25,0.75,2.0,0.5,1.5,0.2,1.0,1,64.87809999962337,1,3216.2489999609534
grover-noancilla_indep_qiskit_2.qasm,CPU,single,2,10,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0,5.0,0.4,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.1,1.0,1,64.24591999966651,1,3407.7159999287687
grover-noancilla_indep_qiskit_2.qasm,CPU,double,2,10,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0,5.0,0.4,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.1,1.0,1,70.54274000111036,1,3352.828000060981
grover-v-chain_indep_qiskit_2.qasm,CPU,single,2,10,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0,5.0,0.4,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.1,1.0,1,64.7255399991991,1,3258.844000083627
grover-v-chain_indep_qiskit_2.qasm,CPU,double,2,10,10,2,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0,5.0,0.4,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.1,1.0,1,77.64353999809828,1,3281.0489999246784
