file,backend,precision,n_lines,n_nonempty_lines,n_qubits,n_qreg_declarations,n_classical_bits,n_measure,n_barrier,n_cx,n_cz,n_cp,n_cy,n_ch,n_swap,n_ccx,n_cswap,n_2q_gates,n_3q_gates,n_x,n_y,n_z,n_h,n_s,n_sdg,n_t,n_tdg,n_rx,n_ry,n_rz,n_u1,n_u2,n_u3,n_u,n_1q_gates,n_total_gates,n_unique_edges,n_edge_repetitions,max_qubit_degree,avg_qubit_degree,qubit_degree_std,n_connected_components,crude_depth,gates_per_layer_estimate,avg_gate_span,max_gate_span,std_gate_span,entanglement_pressure,midpoint_cut_crossings,has_qft_pattern,n_qft_like_gates,has_iqft_pattern,has_grover_pattern,has_variational_pattern,n_rotation_gates,has_ghz_pattern,n_custom_gates,n_opaque_gates,ratio_2q_gates,ratio_1q_gates,gates_per_qubit,2q_gates_per_qubit,1q_gates_per_qubit,circuit_density,max_fidelity_achieved,forward_shots,forward_peak_rss_mb,n_thresholds_tested,min_threshold,forward_runtime
ae_indep_qiskit_130.qasm,CPU,double,9167,9167,130,2,130,130,1,258,0,8256,0,0,0,0,0,8514,0,0,0,0,129,0,0,0,0,0,0,0,0,129,129,130,517,9031,129,129,129,1.9846153846153847,11.183081050191308,1,70.51538461538462,9.14694011126868,64.0,128,37.23797345005051,65.49230769230769,128,1,4428,0,0,0,0,0,0,0,0.9565217391304348,0.043478260869565216,68.46923076923076,65.49230769230769,2.976923076923077,0.007469099025769693,0.9999999993790272,10000,450.6484375,10,8,76.83209070000157
ae_indep_qiskit_20.qasm,CPU,double,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933106030039517,10000,426.69140625,3,1,7.064479499999834
ae_indep_qiskit_20.qasm,CPU,single,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933355399117253,10000,427.0,3,2,5.4808029000000715
ae_indep_qiskit_20.qasm,GPU,double,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933106318813488,10000,877.51953125,3,1,8.741223300000001
ae_indep_qiskit_20.qasm,GPU,single,312,312,20,2,20,20,1,38,0,171,0,0,0,0,0,209,0,0,0,0,19,0,0,0,0,0,0,0,0,19,19,20,77,286,19,19,19,1.9,3.9230090491866068,1,15.6,6.08974358974359,9.0,18,5.477225575051661,10.45,18,1,171,0,0,0,0,0,0,0,0.7857142857142857,0.21428571428571427,13.3,10.45,2.85,0.04262820512820513,0.9933391042535065,10000,511.078125,3,2,6.923386600000413
cutbell_n30_k6.qasm,CPU,double,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,1.0,10000,426.83984375,2,2,19.727006099999926
cutbell_n30_k6.qasm,CPU,single,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,0.9999992847443906,10000,426.5,2,2,6.355348400000139
cutbell_n30_k6.qasm,GPU,double,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,1.0000000000000027,10000,843.59765625,2,2,20.084437799999932
cutbell_n30_k6.qasm,GPU,single,46,46,30,1,30,30,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,12,6,0,1,1.0,0.0,6,1.5333333333333334,7.826086956521738,15.0,15,0.0,0.2,6,0,0,0,0,0,0,1,0,0,0.5,0.5,0.4,0.2,0.2,0.008695652173913044,1.0,10000,478.984375,2,2,6.362876700000015
dj_indep_qiskit_130.qasm,CPU,double,522,522,130,1,129,129,1,129,0,0,0,0,0,0,0,129,0,0,0,0,140,0,0,0,0,0,0,0,0,119,0,0,259,388,129,0,129,1.9846153846153847,11.183081050191308,1,4.015384615384615,96.62835249042146,65.0,129,37.23797345005051,0.9923076923076923,65,0,0,0,0,0,0,0,0,0,0.3324742268041237,0.6675257731958762,2.9846153846153847,0.9923076923076923,1.9923076923076923,0.0057176539935160624,0.9999999999905649,10000,428.2578125,1,1,2588.3113831
